Rk,Name,Position,Age,Team,Games,GS,MinutesPlayed,FG,FGA,3P,3PA,2P,2PA,FT,FTA,OffensiveRebounds,DefensiveRebounds,Assists,Steals,Blocks,Turnovers,Fouls,PTS
225,Killian Hayes,PG,20,DET,46,33,24.4,2.3,6.4,0.7,2.5,1.7,4.0,0.9,1.1,0.5,2.4,4.1,1.0,0.5,1.7,2.7,6.2
226,Gordon Hayward,SF,31,CHO,48,48,32.2,5.9,12.7,1.8,4.5,4.1,8.2,2.6,3.1,0.8,3.8,3.6,1.0,0.5,1.7,1.8,16.1
227,Aaron Henry,SF,22,PHI,6,0,2.8,0.2,0.8,0.0,0.2,0.2,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.3,0.3,0.3
228,Juancho Hernangómez,PF,26,BOS,18,0,5.3,0.3,1.5,0.2,1.0,0.1,0.5,0.3,0.5,0.5,0.9,0.2,0.2,0.1,0.3,0.4,1.1
228,Juancho Hernangómez,PF,26,SAS,5,0,10.2,0.4,1.2,0.0,0.6,0.4,0.6,0.6,0.8,0.8,2.2,0.6,0.2,0.2,0.4,0.0,1.4
229,Willy Hernangómez,C,27,NOP,31,6,16.3,3.4,6.4,0.1,0.2,3.3,6.1,2.0,2.7,2.6,4.2,1.3,0.4,0.3,1.0,1.9,8.9
230,Tyler Herro,SG,22,MIA,46,10,32.7,7.4,17.3,2.5,6.7,4.9,10.6,2.7,3.1,0.6,4.2,3.9,0.6,0.2,2.8,1.5,20.0
231,Buddy Hield,SG,29,SAC,55,6,28.6,4.8,12.6,3.3,9.0,1.5,3.6,1.5,1.7,0.8,3.2,1.9,0.9,0.3,1.6,2.1,14.4
231,Buddy Hield,SG,29,IND,4,4,39.0,7.8,17.0,3.5,10.0,4.3,7.0,1.0,1.3,0.8,5.3,5.0,0.5,0.5,1.8,2.5,20.0
232,Haywood Highsmith,SF,25,MIA,5,0,11.4,1.2,2.8,1.2,2.4,0.0,0.4,0.0,0.0,0.4,1.0,0.0,0.0,0.2,0.0,1.0,3.6
